CIUDAD;BARRIO
CIUDAD DE LA COSTA;SOLYMAR
CIUDAD DEL PLATA;ANFITEATRO CIUDAD DEL PLATA
CIUDAD DEL PLATA;AUTODROMO
CIUDAD DEL PLATA;CANCHA PORVENIR DEL PLATA
CIUDAD DEL PLATA;CENTRO DE SALUD CIUDAD DEL PLATA
CIUDAD DEL PLATA;CERAMICAS DEL SUR
CIUDAD DEL PLATA;CIUDAD DEL PLATA
CIUDAD DEL PLATA;COLONIA GALLAND
CIUDAD DEL PLATA;COLONIA WILSON
CIUDAD DEL PLATA;CORONEL ADRIAN MEDINA
CIUDAD DEL PLATA;DELTA DEL TIGRE
CIUDAD DEL PLATA;ESCUELA 121
CIUDAD DEL PLATA;HOSPITAL EVANGELICO
CIUDAD DEL PLATA;LAS VIOLETAS
CIUDAD DEL PLATA;MONTE GRANDE
CIUDAD DEL PLATA;PARQUE DEL PLATA
CIUDAD DEL PLATA;PARQUE POSTEL
CIUDAD DEL PLATA;PLAYA AUTODROMO
CIUDAD DEL PLATA;PLAYA PASCUAL
CIUDAD DEL PLATA;PLAYA PENINO
CIUDAD DEL PLATA;PLAZA PLAYA PASCUAL
CIUDAD DEL PLATA;POLIDEPORTIVO CIUDAD DEL PLATA
CIUDAD DEL PLATA;SAFICI
CIUDAD DEL PLATA;SAN FERNANDO
CIUDAD DEL PLATA;SAN FERNANDO CHICO
CIUDAD DEL PLATA;SAN LUIS
CIUDAD DEL PLATA;SANTA MARIA
CIUDAD DEL PLATA;SANTA MONICA
CIUDAD DEL PLATA;SANTA VICTORIA
CIUDAD DEL PLATA;SIGMA INENIERIA
CIUDAD DEL PLATA;SOFIMA
CIUDAD DEL PLATA;TROPAS VIEJAS
CIUDAD DEL PLATA;VILLA OLIMPICA
CIUDAD DEL PLATA;VILLA RIVES
EMPALME OLMOS;EMPALME OLMOS
EMPALME OLMOS;EMPALME OLMOS (CENTRO)
EMPALME OLMOS;GREMCA EMPALME OLMOS
EMPALME OLMOS;PARQUE INDUSTRIAL OLMOS
EMPALME OLMOS;PLAZA GORGOROSO
EMPALME OLMOS;PLAZA LAS COTORRAS
EMPALME OLMOS;PLAZA PUBLICA PIEDRA DEL TORO
EMPALME OLMOS;SOCIEDAD NATIVISTA EL RESERVADO
EMPALME OLMOS;ZONA DE LA ESTACION
EMPALME OLMOS;ZONA RURAL
EMPALME OLMOS;ZONA RUTA 8
GEN. LIBER SEREGNI;GEN. LIBER SEREGNI
GEN. LIBER SEREGNI;ALTOS DE LA TAHONA
GEN. LIBER SEREGNI;CANCHAS EL FUTURO
GEN. LIBER SEREGNI;CARMEL
GEN. LIBER SEREGNI;CLUB CHAMPAGNAT RUGBY URUGUAY
GEN. LIBER SEREGNI;CLUB LOS AROMOS BABY FUTBOL
GEN. LIBER SEREGNI;COLINAS DE CARRASCO
GEN. LIBER SEREGNI;EMPALME NICOLICH
GEN. LIBER SEREGNI;ESCUELA TECNICA DE AERONAUTICA
GEN. LIBER SEREGNI;GEN. LIBER SEREGNI
GEN. LIBER SEREGNI;GENERAL LIBER SERREGNI/COLONIA NICOLICH
GEN. LIBER SEREGNI;HARAS DEL LAGO
GEN. LIBER SEREGNI;LA ASUNCION
GEN. LIBER SEREGNI;LA HORQUETA
GEN. LIBER SEREGNI;LICEO Nº COLONIA NICOLICH
GEN. LIBER SEREGNI;NITER S.A.
GEN. LIBER SEREGNI;PARQUE MARTINELLI DE CARRASCO
GEN. LIBER SEREGNI;POLIDEPORTIVO MUNICIPAL
GEN. LIBER SEREGNI;QUINTAS DEL BOSQUE
GEN. LIBER SEREGNI;SANTA TERESITA
GEN. LIBER SEREGNI;VILLA AEROPARQUE
GEN. LIBER SEREGNI;VILLA EL TATO
GEN. LIBER SEREGNI;WOSLEN AGROVIAL S.A.
JOAQUIN SUAREZ;EMPALME SAUCE
JOAQUIN SUAREZ;JOAQUIN SUAREZ
JOAQUIN SUAREZ;LOMAS DE TOLEDO
JOAQUIN SUAREZ;SANTA TERESITA DE SUAREZ
JOAQUIN SUAREZ;SEIS HERMANOS
JOAQUIN SUAREZ;VILLA HADITA
JOAQUIN SUAREZ;VILLA SAN FELIPE
JOAQUIN SUAREZ;VILLA SAN JOSE
LA PAZ;AIRES PUROS
LA PAZ;BARRIO JARDIN
LA PAZ;BARRIO OLIMPICO
LA PAZ;CENTRO
LA PAZ;COPOLA
LA PAZ;COSTA Y GUILLAMON
LA PAZ;LA LUCHA
LA PAZ;LA PAZ
LA PAZ;TISCORNIA
LA PAZ;VIALE
LA PAZ;VILLA ANITA
LA PAZ;VILLA FELICIDAD
LA PAZ;VILLA NELLY
LA PAZ;VILLA PAZ S.A.
LAS PIEDRAS;19 DE ABRIL
LAS PIEDRAS;ANSINA
LAS PIEDRAS;BARRIO ARTIGAS
LAS PIEDRAS;CAMPISTEGUY
LAS PIEDRAS;CENTRO
LAS PIEDRAS;EL DORADO
LAS PIEDRAS;HERTEN
LAS PIEDRAS;LAS PIEDRAS
LAS PIEDRAS;LENZI
LAS PIEDRAS;OBELISCO
LAS PIEDRAS;PILARICA
LAS PIEDRAS;PUEBLO NUEVO
LAS PIEDRAS;RAZETTI
LAS PIEDRAS;SAN ISIDRO
LAS PIEDRAS;SANTA ISABEL
LAS PIEDRAS;SANTA RITA
LAS PIEDRAS;VILLA FORESTI
LAS PIEDRAS;VILLA JUANITA
LIBERTAD;LIBERTAD
MONTEVIDEO;AGUADA
MONTEVIDEO;AIRES PUROS
MONTEVIDEO;ATAHUALPA
MONTEVIDEO;BANADOS DE CARRASCO
MONTEVIDEO;BARRA DE CARRASCO
MONTEVIDEO;BELLA VISTA
MONTEVIDEO;BELVEDERE
MONTEVIDEO;BRAZO ORIENTAL
MONTEVIDEO;BUCEO
MONTEVIDEO;CAPURRO
MONTEVIDEO;CARRASCO
MONTEVIDEO;CARRASCO NORTE
MONTEVIDEO;CASABO
MONTEVIDEO;CASAVALLE
MONTEVIDEO;CENTRO
MONTEVIDEO;CERRITO DE LA VICTORIA
MONTEVIDEO;CERRO
MONTEVIDEO;CIUDAD VIEJA
MONTEVIDEO;COLON
MONTEVIDEO;CONCILIACION
MONTEVIDEO;CORDON
MONTEVIDEO;FLOR DE MARONAS
MONTEVIDEO;GOES
MONTEVIDEO;ITUZAINGO
MONTEVIDEO;JACINTO VERA
MONTEVIDEO;JARDINES DEL HIPODROMO
MONTEVIDEO;LA BLANQUEADA
MONTEVIDEO;LA COMERCIAL
MONTEVIDEO;LA FIGURITA
MONTEVIDEO;LA PALOMA
MONTEVIDEO;LA TEJA
MONTEVIDEO;LA UNION
MONTEVIDEO;LARRANAGA
MONTEVIDEO;LAS ACACIAS
MONTEVIDEO;LAS CANTERAS
MONTEVIDEO;LEZICA
MONTEVIDEO;MALVIN
MONTEVIDEO;MALVIN NORTE
MONTEVIDEO;MANGA
MONTEVIDEO;MARONAS
MONTEVIDEO;MELILLA
MONTEVIDEO;MERCADO MODELO
MONTEVIDEO;MONTEVIDEO
MONTEVIDEO;NUEVO PARIS
MONTEVIDEO;PALERMO
MONTEVIDEO;PARQUE BATLLE
MONTEVIDEO;PARQUE CARRASCO
MONTEVIDEO;PARQUE GUARANI
MONTEVIDEO;PARQUE RODO
MONTEVIDEO;PASO DE LA ARENA
MONTEVIDEO;PASO MOLINO
MONTEVIDEO;PENAROL
MONTEVIDEO;PIEDRAS BLANCAS
MONTEVIDEO;POCITOS
MONTEVIDEO;PRADO
MONTEVIDEO;PUNTA CARRETAS
MONTEVIDEO;PUNTA DE RIELES
MONTEVIDEO;PUNTA GORDA
MONTEVIDEO;REDUCTO
MONTEVIDEO;SAYAGO
MONTEVIDEO;TRES CRUCES
MONTEVIDEO;VILLA ESPANOLA
MONTEVIDEO;VILLA MUNOZ
PANDO;ARROYO PIEDRITAS
PANDO;BARRIO ESTADIO
PANDO;BARRIO TALAR
PANDO;CAMPUS DEPORTIVO COLEGIO NUESTRA SENORA DEL HUERTO
PANDO;CANCHA DE SV LA TUERCA
PANDO;CEMENTERIO NUEVO DE PANDO
PANDO;CORREO URUGUAYO PLANTA LOGISTICA
PANDO;CRUZ DE LOS CAMINOS
PANDO;CUMBRES DE CARRASCO
PANDO;ESTANQUE DE PANDO
PANDO;JARDINES DE PANDO
PANDO;LOMAS DE CARRASCO
PANDO;PANDO
PANDO;PARQUE NACIONAL GRAL. ARTIGAS
PANDO;POLICLINICA TALAR ASSE
PANDO;SAN BERNARDO
PANDO;SOFTYS URUGUAY
PANDO;TOTORAL DEL SAUCE
PARQUE DEL PLATA;PARQUE DEL PLATA
PARQUE DEL PLATA;BAJADA 4
PARQUE DEL PLATA;BARRIO CAMPAMENTO
PARQUE DEL PLATA;BARRIO DIAGONAL
PARQUE DEL PLATA;BARRIO EL PASO
PARQUE DEL PLATA;BARRIO EL REMANSO
PARQUE DEL PLATA;BARRIO ESTADIO
PARQUE DEL PLATA;BARRIO LA BARRA
PARQUE DEL PLATA;BARRIO LA LLANADA
PARQUE DEL PLATA;BARRIO LOS PARAISOS
PARQUE DEL PLATA;BARRIO PORTUARIOS
PARQUE DEL PLATA;CENTRO
PARQUE DEL PLATA;ESTACION TREN PARQUE DEL PLATA
PARQUE DEL PLATA;PARQUE DE ARBORISMO
PARQUE DEL PLATA;PARQUE DEL PLATA NORTE
PARQUE DEL PLATA;PARQUE DEL PLATA SUR
PARQUE DEL PLATA;PLAYA BAJADA 11
PARQUE DEL PLATA;PLAYA BARRA DEL SOLIS
PARQUE DEL PLATA;PLAYA DE ARROYO
PARQUE DEL PLATA;PLAZA BRASIL
PARQUE DEL PLATA;PUNTO VERDE PARQUE DEL PLATA
PARQUE DEL PLATA;TEATRO DE VERANO PARQUE DEL PLATA
PASO DE CARRASCO;AEROPUERTO INTERNACIONAL DE CARRASCO
PASO DE CARRASCO;BARRA DE CARRASCO
PASO DE CARRASCO;CENTRO
PASO DE CARRASCO;MONTERREY
PASO DE CARRASCO;PARAISO DE CARRASCO
PASO DE CARRASCO;PARQUE DE CARRASCO
PASO DE CARRASCO;PARQUE ROOSEVELT
PASO DE CARRASCO;PASO DE CARRASCO
PASO DE CARRASCO;RAMBLA COSTANERA
PASO DE LA ARENA;PASO DE LA ARENA
PROGRESO;PROGRESO
PROGRESO;CANCHA NUEVA BABY F PROGRESO
PROGRESO;COMPLEJO CLAUDIO DE LEON
PROGRESO;COMPLEJO MARQUETALIA
PROGRESO;CONVENTO SALESAS
PROGRESO;ELISEO ARGENTINO
PROGRESO;ESCUELA Nº 201 OCTAVIO POSADA
PROGRESO;ESTACION PROGRESO
PROGRESO;LICEO DE PROGRESO
PROGRESO;LOS MANZANOS
PROGRESO;PLAZA DE DEPORTES
PROGRESO;PROGRESO (CENTRO)
PROGRESO;SAN PEDRO
PROGRESO;VILLA ALEGRIA
PROGRESO;ZONA PERIFERICA
PROGRESO;ZONA RURAL
PROGRESO;ZONA RUTA 5
SALINAS;SALINAS
SALINAS;300 ACADEMIA DE BOXEO
SALINAS;ANIMAL'S HOME
SALINAS;BIOPARQUE PIERO
SALINAS;COMISION FOMENTO MARINDIA
SALINAS;FORTIN DE SANTA ROSA
SALINAS;LA MONTANESA
SALINAS;LA PONDEROSA
SALINAS;LLAMA RINCON DE MARINDIA
SALINAS;MARINDIA
SALINAS;NEPTUNIA
SALINAS;PARQUE DE LOS PAJAROS
SALINAS;PINAMAR
SALINAS;PISTA DE ATLETISMO PARQUE GUARANI
SALINAS;PLAZA LA CUMBRE
SALINAS;RINCON DEL PINAR
SALINAS;SALINAS (CENTRO)
SALINAS;SKATE PARK
SALINAS;SOSA DIAZ
SALINAS;VILLA JUANA
SAN JOSE DE MAYO;SAN JOSE DE MAYO
SAN JOSE DE MAYO;ANTIGUO PUENTE FERROVIARIO
SAN JOSE DE MAYO;BARRIO CAPITAN MANUEL ARTIGAS
SAN JOSE DE MAYO;BARRIO CEMENTERIO
SAN JOSE DE MAYO;BARRIO COLON
SAN JOSE DE MAYO;BARRIO HIPODROMO
SAN JOSE DE MAYO;BARRIO INDUSTRIAL
SAN JOSE DE MAYO;BARRIO LAS PALMAS
SAN JOSE DE MAYO;BARRIO MONDEX
SAN JOSE DE MAYO;BARRIO PICADA DE LAS TUNAS
SAN JOSE DE MAYO;BARRIO TREINTA Y TRES
SAN JOSE DE MAYO;CANCHA DE SAN LORENZO
SAN JOSE DE MAYO;CENTRO
SAN JOSE DE MAYO;ESTADIO CASTO MARTINEZ LAGUARDA
SAN JOSE DE MAYO;HOSPITAL DE SAN JOSE DE MAYO
SAN JOSE DE MAYO;KARTODROMO LUIS PEDRO SERRA
SAN JOSE DE MAYO;MOLINO
SAN JOSE DE MAYO;PARQUE BONIFACIO ANTOGNAZZA
SAN JOSE DE MAYO;PARQUE CAMUNDA GIL
SAN JOSE DE MAYO;PARQUE RODO
SAN JOSE DE MAYO;PLAZA ITALIA
SAN JOSE DE MAYO;PLAZA ZORILLA DE SAN MARTIN
SAN JOSE DE MAYO;SOCIEDAD CRIOLLA CAP. MANUEL ARTIGAS
SAN JOSE DE MAYO;ZONA CAMINO DE LA COSTA
SAN JOSE DE MAYO;ZONA PICADA VARELA
SAN JOSE DE MAYO;ZONA QUINTA DEL HORNO
SAN JOSE DE MAYO;ZONA RUTA 3 NORTE
SANTA LUCIA;ABADIE
SANTA LUCIA;BARRIO MACAL
SANTA LUCIA;BARRIO NEUVO PARIS
SANTA LUCIA;BARRIO SUR
SANTA LUCIA;CASA VIVA
SANTA LUCIA;CENTRO
SANTA LUCIA;CENTRO DE BARRIO MUNICIPAL 1
SANTA LUCIA;CENTRO DE BARRIO MUNICIPAL 2
SANTA LUCIA;LA CURVA
SANTA LUCIA;OLIMPICO
SANTA LUCIA;SANTA LUCIA
SANTA LUCIA;SAONA FIESTAS & EVENTOS
SANTA LUCIA;TALLER DE ARTE VAN GOGH
SANTA LUCIA;VILLA ESTELA
TOLEDO;ARTIGAS
TOLEDO;BARRIO BENZO
TOLEDO;BARRIO GAVEGNO
TOLEDO;BARRIO LOS PANORAMAS
TOLEDO;CAMPO AVENTURA
TOLEDO;CHACRA Y COMPLEJO LAS AMERICAS
TOLEDO;COMPLEJO DEPORTIVO PARQUE KEGUAY
TOLEDO;ESCUELA MILITAR DE LA REPUBLICA ORIENTAL DEL URUGUAY
TOLEDO;ESTACION TOLEDO
TOLEDO;FRACC. CAMINO ANDALUZ Y RUTA 84
TOLEDO;INSTITUTO DE ENSENANZA SECUNDARIA Nº DE TOLEDO
TOLEDO;LA CAPILLA
TOLEDO;LOMAS DE TOLEDO
TOLEDO;LOS HORNOS
TOLEDO;LOS YUYOS
TOLEDO;PLAZA DE TOLEDO
TOLEDO;SEDE
TOLEDO;SEIS HERMANOS
TOLEDO;TOLEDO CHICO
TOLEDO;VILLA CRESPO Y SAN ANDRES
TOLEDO;VILLA GARIN
TOLEDO;VILLA PORVENIR
TOLEDO;VILLA SAN JOSE
TOLEDO;VIVERO NACIONAL
TOLEDO;TOLEDO
